,ABronte_Agnes,ABronte_Tenant,Austen_Emma,Austen_Mansfield,Austen_Northanger,Austen_Persuasion,Austen_Pride,Austen_Sense,Bennet_Babylon,Bennet_Helen,Bennet_Imperial1,Bennet_Imperial2,Bennet_Imperial3,Bennett_Agnes,Burney_Camilla1,Burney_Camilla2,Burney_Camilla3,Burney_Camilla4,Burney_Cecilia1,Burney_Cecilia2,Burney_Cecilia3,Burney_Cecilia4,Burney_Darblay1,Burney_Darblay2,Burney_Darblay3,Burney_Darblay4,Burney_Evelina,Burney_Wanderer1,Burney_Wanderer2,Burney_Wanderer3,Burney_Wanderer4,CBronte_Jane,CBronte_Professor,CBronte_Shirley1,CBronte_Shirley2,CBronte_Villette,Shelley_Frankenstein,Shelley_Lastman,Shelley_Valperga,Dickens_Bleak1,Dickens_Bleak2,Dickens_Bleak3,Dickens_Bleak4,Dickens_Cities,Dickens_Curiosity,Dickens_David1,Dickens_David2,Dickens_David3,Dickens_David4,Dickens_Dombey1,Dickens_Dombey2,Dickens_Dombey3,Dickens_Dombey4,Dickens_Expectations,Dickens_Hard,Dickens_Mutual1,Dickens_Mutual2,Dickens_Mutual3,Dickens_Nicholas1,Dickens_Nicholas2,Dickens_Nicholas3,Dickens_Nicholas4,Dickens_Oliver,Doyle_TheHound,Doyle_TheLostWorld,Eliot_Adam,Eliot_Daniel1,Eliot_Daniel2,Eliot_Daniel3,Eliot_Felix,Eliot_Middlemarch1,Eliot_Middlemarch2,Eliot_Middlemarch3,Eliot_Middlemarch4,Eliot_Mill,Eliot_Romola1,Eliot_Romola2,Eliot_Romola3,Eliot_Silas,Gaskell_Barton,Gaskell_Lovers,Gaskell_NorthSouth,Gaskell_Ruth,Gaskell_Wives1,Gaskell_Wives2,Gaskell_Wives3,Hardy_BlueEyes,Hardy_Greenwood,Hardy_Jude,Hardy_Madding,Hardy_Native,Hardy_Tess,Hardy_Woodlanders,Hawthorne_Blithedale,Hawthorne_MarbleFaun,Hawthorne_Scarlet,Hawthorne_SevenGables,Lytton_Barons,Lytton_Harold,Lytton_Pompeii,Lytton_Rienzi,Lytton_Zanoni,Thackeray_Barry,Thackeray_Pendennis1,Thackeray_Pendennis2,Thackeray_Pendennis3,Thackeray_Pendennis4,Thackeray_Vanity1,Thackeray_Vanity2,Thackeray_Vanity3,Trollope_Barchester,Trollope_Forgive1,Trollope_Forgive2,Trollope_Forgive3,Trollope_Phineas,Trollope_Prime1,Trollope_Prime2,Trollope_Redux,Trollope_Thorne,Trollope_Warden
a,15.7153959071,13.6812446405,16.1260631052,16.4852205159,16.7667695146,16.2716443571,13.5026030792,14.5517589297,20.3224642041,20.5679035308,20.7861759408,18.9575855619,16.6252696847,13.4115432801,14.7435298514,15.2241724475,14.8721266692,12.9234293738,12.8807234408,12.615458435,11.0831234257,12.9329042541,14.8234300573,14.2407037684,13.9184425318,14.5033557047,12.2113376895,14.5576021331,14.1762198637,15.6723568174,16.4918688962,19.4670433638,20.7265687279,19.2125474729,16.979951292,19.3754743111,16.2268000141,12.8175457084,14.8012766306,18.7305085062,18.5360653796,15.6406326012,17.4719011346,17.5314849312,18.0739493225,19.5956111702,19.3914302688,16.6096462326,15.8366108258,17.7527298344,16.3890174302,15.7411844043,16.7276129734,17.8418162008,17.3807536554,19.0442412373,17.0135498047,17.2452298201,19.4410105849,18.1703686741,18.3444122076,16.7848415655,18.6074097903,18.5432533818,21.1261230679,18.8685969525,20.842180066,20.3767990164,19.7114038606,21.517845036,20.4985135077,19.1408835208,19.4231016869,18.4752553468,18.9741083731,21.0599374314,18.5041223681,18.5137252231,19.5062986621,14.9857511685,18.3480135182,15.2746107387,13.8880150991,16.4426963837,15.5045378094,13.6540895387,21.210762615,21.817316708,18.1239440193,23.223813873,19.3855286003,17.9958983707,18.6888405035,22.8622623353,21.319833796,20.6443036827,22.1443886152,14.8082041148,11.4677790134,14.3016747356,15.3299910783,13.8715427888,20.6039624553,20.181031792,20.4279774047,18.8386437748,17.4619914697,19.6019026267,17.9433577224,18.0817986128,14.6816446912,14.8309353968,12.3555004858,12.3202927594,15.4382723914,16.7654581014,14.2950391645,15.1337708556,14.3111261051,15.7124306457
boy,0.2343740363,0.1568050962,0.131491056,0.1176369936,0.0549010135,0.2046747718,0.0417606281,0.0568428083,0.1082902178,0.1549955051,0.1830108169,0.0606642738,0.0906503254,0.1443343013,0.3643838176,0.1769169887,0.2695853777,0.0923761928,0.159021277,0.0199928026,0.0093292285,0.0201761377,0.0444480661,0.023396556,0.047638708,0.2818791946,0.0415528292,0.0306475834,0.0756065059,0.4497370016,0.131235031,0.0523190415,0.1613331815,0.1540701481,0.2714379425,0.132914296,0.0703473989,0.1083311585,0.1473035271,0.5415600665,0.5922065616,0.614977925,0.2752179549,0.2833493094,0.6583480058,1.3669223148,0.4270013367,0.2437285045,0.3401034263,1.1359633674,0.4820299244,0.257324886,0.2673362804,0.9739176839,0.2782157099,0.9175160758,0.3662109375,0.334994347,1.8156532489,0.4121822762,0.7345109993,0.4506669871,1.8195252145,0.2841877913,0.1018399077,0.2059112364,0.4246431697,0.2531279381,0.1513351544,0.2150849352,0.0754017838,0.2792025149,0.1287719449,0.1128604481,0.3765180889,0.1035904448,0.0547459242,0.204345753,0.106656554,0.2061313778,0.0487861128,0.1183372703,0.5295166195,0.2731344914,0.1451415984,0.3086832601,0.2083820084,0.2518997439,0.6631414452,0.1742537134,0.4927032988,0.1196308534,0.1188777936,0.0774242072,0.120963596,0.0201407841,0.1473019198,0.258171445,0.175818766,0.1278424092,0.4166496837,0.0693844003,0.5300270381,1.5606188969,0.6864898792,0.6286095942,0.6533080721,0.4165783016,0.8627411942,1.435063382,0.1257807078,0.1370249466,0.098562397,0.1829746449,0.1942922665,0.0902662855,0.0890102065,0.0389293141,0.3258627696,0.2006846889
enquiry,0,0,0,0,0,0.1432723403,0,0.0710535104,0,0,0.0577928895,0.0909964107,0.0815852929,0.1905212778,0.0747453985,0.102425625,0,0.1570395278,0.2968397172,0.2399136311,0.177255341,0.2421136522,0,0.015597704,0,0,0.1142702804,0.1838855006,0.1795654516,0.1564302614,0.2077887991,0,0,0,0,0,0,0.034469005,0.0436454895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748121514,0,0,0,0,0,0,0,0,0,0,0,0.0409629013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038336796,0
feeling,0.4070706946,0.4900159255,0.6574552799,1.010608718,0.6588121617,0.9926726432,0.7516913054,0.6181655405,0.1082902178,0.1859946062,0.0770571861,0.0909964107,0.0725202603,0.1905212778,0.2802952443,0.2979654546,0.3684333495,0.4711185833,0.1166156032,0.0699748091,0.1959137979,0.1714971703,0.0666720992,0.2261667083,0.1667354781,0.2953020134,0.1714054206,0.5823040853,0.3685817165,0.459513893,0.4702588611,0.4316320925,0.4175682344,0.3389543259,0.4297767423,0.4030304459,1.1841812149,0.5810489411,0.7419733217,0.0840351827,0.0888309842,0.20193305,0.1242919796,0.0783732132,0.1913802342,0.2385233569,0.2413485816,0.2798364311,0.2441768189,0.228953857,0.2313743637,0.3992972369,0.4010044206,0.1645431703,0.0850103558,0.123363506,0.2288818359,0.2093714669,0.3766514718,0.3434852301,0.4407065996,0.2904298362,0.2010525099,0.1420938956,0.1584176341,0.582095226,0.441975544,0.6147392782,0.9231444418,0.416142592,0.5170408031,0.4136333554,0.5365497704,0.5304441059,0.5407440638,0.2278989786,0.3722722843,0.3133301546,0.4029247597,0.4637956001,0.3281974862,0.3413575105,0.4823319702,0.2276120762,0.3756606077,0.3086832601,0.2778426779,0.3078774648,0.2537236834,0.4506561554,0.2698137112,0.2164748775,0.312836299,0.1990908186,0.1874935738,0.2014078408,0.1473019198,0.1179301662,0.0439546915,0.1445175061,0.0815184164,0.1547805852,0.1140564512,0.1961920899,0.1176839793,0.1767964484,0.1399945869,0.2575211319,0.2488676522,0.1913417843,0.4684247051,0.2498690203,0.2534461638,0.2613923499,0.2994011976,0.4031894088,0.4213149775,0.3990254695,0.3795342846,0.4131743596
for,7.8083560512,8.1195638858,6.8427945531,8.1918124652,7.8837855347,7.2250194441,7.2802694953,8.7680031832,5.1016724823,5.2698471744,5.5192209518,6.1270916536,6.5630835615,5.403876242,8.5583481267,8.2312956842,8.1414784062,8.6556492661,8.5447432867,9.1367107841,7.9298442019,8.3630090692,7.7487795302,7.5570875967,7.1061072824,8.0872483221,8.185907358,7.764054471,8.2789124004,7.2740071567,7.0210741587,5.6940556849,5.3714459249,5.5619323478,5.3835191929,5.526662179,5.4050251492,5.441178643,5.5920783437,5.4529496349,5.3989498204,5.3695833754,6.0459170085,5.7212445666,5.9442700758,5.8621701956,6.2286499332,5.9126729795,5.6596698381,5.1866854526,5.389094555,5.8297396582,5.251248365,6.0213906121,5.927540264,5.389443168,6.2789916992,6.1694792234,5.5531947771,5.5186626975,5.7475485695,6.4395305051,5.7551280956,5.9537342276,5.5672482857,9.3610415941,7.1062734529,6.807333478,6.7722481594,6.5320359659,6.861562325,6.5974520185,6.8356440743,7.0086338243,7.0577114109,7.8003604947,7.1060209567,6.8523942511,9.0539563656,8.9254886602,9.1762243097,7.5872396011,7.6072140086,7.6568702429,7.9742501729,7.3981088006,5.6515726527,5.5138055054,5.9798059014,5.9186175071,5.490122472,5.9074854734,5.9126060515,5.3090884959,5.1832900888,4.3101277933,5.2946856741,6.2216130934,5.5075228455,5.3360309934,5.0767858194,4.7501627865,7.5881086086,5.9481874526,5.6880589989,6.5807566888,5.7864429242,6.1350622595,6.5203324872,6.151638364,6.0157876475,5.8759521219,5.7940609116,6.4389648863,6.3129061027,5.8071310366,5.9221457394,5.6350182157,6.7587772095,6.4691299728
have,12.5081722526,11.9269876271,17.5093490141,17.1536125251,14.9769964754,20.1297638053,16.2379242184,14.7720248119,14.8598243292,16.4450230943,15.7678266984,17.713967949,19.3085193176,12.753378866,12.5011678969,12.8963173332,12.3200517604,13.6162508198,14.4921390482,14.1249150306,14.068476537,14.0930321709,13.6381482936,13.3984277514,14.1645758567,13.1140939597,14.2578145289,11.400901039,11.964729565,12.2308910659,11.7674077801,12.8050854108,14.187829784,12.21005924,12.4032059837,11.5506810786,13.3777303584,10.7100122611,11.7133582476,13.2121981736,11.597378499,14.3923192011,13.3968998029,13.6851687737,13.3277195131,12.7976954974,13.4783900193,14.5244134719,15.7145224163,12.2666431842,12.4749344439,12.6177926849,13.3668140199,15.707202099,13.8412315682,11.4188345233,13.0004882813,12.8903033095,12.0528470988,12.2051751775,13.2395607624,14.6316548492,12.1938347248,17.8896214619,14.7667866114,15.5146196978,17.0983872226,18.1257684241,19.2422648819,17.5247464569,16.2006118316,17.4036234282,18.3500021462,20.7211782631,16.0060242894,15.2381544326,18.7888011738,17.355765956,16.9939442779,13.8262621682,14.786627283,15.8571942233,15.2825836217,16.4426963837,17.5792088929,16.9055532118,14.1257743286,11.3214940454,16.3767104724,13.1231072441,15.5846745812,15.9963541073,17.6064269089,13.2506000376,13.051972009,13.5748884704,13.2571727852,10.4989720952,9.5425635255,9.5770639601,10.1399852361,10.3169265913,15.122543593,14.0009809604,13.710183587,14.7133933132,15.8847191242,12.8533341412,13.5052179251,13.288686917,17.8391741846,20.1990891871,20.9022683432,20.3624640586,20.2286915531,21.2667368738,21.94398291,22.0404799984,17.6962652293,15.1103765789
he,8.3757879285,11.2556658091,9.193854634,8.2078538735,5.9293094551,9.8346227844,9.2847796431,7.6311470168,12.9827938876,19.3744381413,15.4210693611,14.306657904,18.764617365,6.5065903042,12.3890497991,10.7826248894,11.2417102496,9.7641635798,13.1033532287,12.2955735935,8.8814255061,10.5622080765,10.9934883583,11.261542301,14.5139263823,7.966442953,10.3466544778,5.2100891845,6.0390696619,6.1985491093,6.2664727305,8.3100077607,5.6941122879,11.0083120845,8.0224991895,9.2697002568,7.0699135899,6.4309315002,10.9059166917,10.9058992698,10.3734849382,11.0328875508,10.5736962659,11.0867953193,10.6254306055,7.9354886059,9.3940294074,7.1222885204,8.075276225,12.2226135963,9.4381459201,8.7135530355,11.3713396412,9.9481911369,10.6726637609,8.9746950608,8.7356567383,10.0288932624,9.020319864,7.2475383559,11.1094788644,12.6487201058,12.309439918,13.0442196203,7.9435127979,11.3528368233,8.8568432547,11.4811600492,11.2971692759,12.404789848,10.7393683485,13.5154698875,13.4030132635,15.5634557869,9.5651616624,11.1359728179,14.5405174585,11.048293713,12.4669660951,12.3730359545,14.6003530341,11.8155212984,11.77519136,11.3077679449,12.8919890375,11.431570066,8.7899319917,8.1027750955,14.7563387672,8.7307119166,10.2235934494,10.2483764384,14.0964036339,4.5127252215,5.5159399779,6.1530095367,6.4894679127,8.1658671851,7.1821965918,8.5987916113,9.4742515024,9.2227879719,7.4002509242,15.8737236367,12.0429938804,14.3598004165,11.5168880137,10.1569364074,10.7676737511,11.5761779479,16.8632893824,12.4531495587,18.6001323552,18.6285614708,18.9833099758,19.2086655634,18.0512698789,17.8653110614,16.0746187406,19.1004603943
her,9.1282519398,8.6242802891,12.7072956497,16.4424434273,17.0632349873,12.311187523,15.4235919708,17.7775883018,4.151125015,8.307759075,8.1680617228,8.1492341135,11.5125913302,13.9542402531,15.1826590676,15.7921690954,17.5230495498,21.5236529242,16.0293447263,17.5936662801,16.5220636253,20.0248166493,9.1118535584,7.2997254804,6.3835868771,7.0738255034,6.8458286154,19.2671141214,18.5330447685,15.7407950568,17.1371077986,7.4554634159,11.663440003,11.3857839474,13.9338143817,9.0510348021,4.3615387321,11.3599992121,12.935431954,5.4622868774,5.2903786174,6.0212764005,7.7238587333,6.2457422245,7.1461379469,7.3942240652,7.7324372494,10.2546511523,9.5403371384,7.1504050722,11.7904519513,14.507799606,10.282899071,5.1986747604,9.3820519954,6.07565267,7.438659668,7.4675823179,4.1624816503,6.1369361117,4.783502883,5.0875295437,3.9205239428,2.3445492782,0.4073596307,11.8517755884,14.4032030228,13.8225934765,14.5811421264,7.9768456392,8.9297255375,9.0378888154,9.2930420226,12.8435189888,11.4317300606,5.5731659312,10.9053880939,12.0563994278,7.0630340234,15.315561373,14.4495595945,14.77850449,16.0480234875,16.506427765,11.5942523927,15.2386636073,9.396134198,6.199532586,9.9817203619,8.8508868913,10.4523485524,15.9735672781,14.1214305378,8.8484808264,7.4755502332,9.6575059667,7.3896463117,4.8255749096,2.9405688616,6.4532624827,2.8259717675,5.2999007269,7.6686190447,7.2501895037,8.1888435588,7.9165520764,7.6250384985,11.785378859,13.6960164584,12.8964362593,10.5308813324,11.5584572603,13.8198560989,11.7975080596,6.9340043318,8.599368136,9.4766199858,6.0502642327,9.4576876778,4.8636524613
his,5.2919190299,8.4968761485,5.9591746569,7.1544680669,5.7536262119,6.7440337304,8.8184526295,7.1550884971,6.6418000241,8.5557518832,7.5516042343,6.612405844,7.5330420436,8.4464433141,10.9034850042,7.1604823316,9.8937833612,7.9166397236,10.2727744972,9.9064336839,6.3438753615,8.1511596235,4.5040707021,6.7928000998,7.7015911328,8.2684563758,5.5421085983,3.6164148457,3.8370301764,5.0937603879,7.0866916742,5.2973029534,4.8115248833,7.9115021069,5.9339350208,6.928693624,6.2491939361,8.7994445566,11.4787637415,8.3941810305,10.7288088752,9.1420599007,9.6237504217,12.0694748392,11.9229885937,5.9814318741,6.9805435913,6.4633188601,7.0462453454,12.5132088764,13.0533703532,10.3639816146,11.5527464029,8.2449469682,9.1038362855,9.1674505389,9.7198486328,10.5453428807,9.7446496176,8.7588733684,13.0192074626,11.7574009534,11.7012560756,9.79026941,7.4229977143,7.5830772642,7.5742475583,8.7329138642,10.2075561643,9.6601190448,8.0679908656,10.6096955659,10.8704983474,11.0828959991,7.8588137277,9.6131932791,10.4783698854,8.4190450242,11.2818932723,7.8226857888,9.8769702937,6.6405414385,6.8784733145,7.3746312684,8.588967531,5.4122464939,6.5419321432,8.1307639559,8.5862401033,6.8439648128,7.0327530383,7.1664577874,9.272467903,5.6519671279,6.2719624529,9.1439159726,10.2538503085,13.3611691023,13.6699090577,9.2380036574,12.6217681345,9.825898528,8.768928339,15.0800374549,12.0724148753,14.0356735945,10.9475766937,9.8160996152,11.9041693627,12.3128438173,12.1269951423,7.5202514811,10.4828149421,10.1507362551,10.8835520448,11.9392207011,10.2480417755,10.9099402759,11.4665358104,15.582575847
inquiry,0.0740128536,0.0931030258,0.110452487,0.0641656329,0.1537228377,0.0204674772,0.2296834544,0.2202658822,0.0962579714,0.0619982021,0,0,0,0,0.0560590489,0.1676055682,0.1258065096,0.0184752386,0.0212028369,0,0,0,0.1259361874,0.1091839281,0.2381935402,0.1677852349,0.0623292438,0.0204317223,0.0189016265,0,0,0.0741186421,0.0854116843,0.038517537,0.0226198285,0.0171502317,0.0586228324,0.0147724307,0,0.0746979402,0.0592206562,0.100966525,0.0799019869,0.0542583784,0.1377937687,0.0825657774,0.0278479133,0.0270809449,0.0436030034,0.0968650933,0.0578435909,0.0532396316,0.0286431729,0.0578124653,0.0154564283,0.0385510956,0.0381469727,0.0558323912,0.1448659507,0.1488435997,0.1193580374,0.160237151,0.1206315059,0.1847220643,0.0452621812,0.0197991573,0.0519971228,0.054241701,0.052967304,0.0046757595,0.0646301004,0.0413633355,0.0643859724,0.0677162688,0.0280385811,0.020718089,0.0547459242,0.0408691506,0.106656554,0.1030656889,0.106442428,0.086477236,0.0838838209,0.0910448305,0.0853774108,0.082315536,0.0694606695,0.0419832907,0.0980296049,0.0660962361,0.0410586082,0.1139341461,0.1439046975,0.0442424041,0.0241927192,0.0302111761,0.0736509599,0.0095619054,0.0043954692,0.0055583656,0.0226440045,0.0053372616,0.0536736241,0.0267534668,0.0196139965,0.0589321495,0,0.0605932075,0.0746602957,0.0287012676,0.0390353921,0.0483617459,0.0422410273,0.05227847,0.0350363104,0.1023017903,0.0534061239,0.0746145187,0.0115010389,0.0590249085
