,ABronte_Agnes,ABronte_Tenant,Austen_Emma,Austen_Mansfield,Austen_Northanger,Austen_Persuasion,Austen_Pride,Austen_Sense,Bennet_Babylon,Bennet_Helen,Bennet_Imperial,Bennett_Agnes,Burney_Camilla,Burney_Cecilia,Burney_Darblay,Burney_Evelina,Burney_Wanderer,CBronte_Jane,CBronte_Professor,CBronte_Shirley,CBronte_Villette,Dickens_Bleak,Dickens_Cities,Dickens_Curiosity,Dickens_David,Dickens_Dombey,Dickens_Expectations,Dickens_Hard,Dickens_Mutual,Dickens_Nicholas,Dickens_Oliver,Doyle_TheHound,Doyle_TheLostWorld,Eliot_Adam,Eliot_Daniel,Eliot_Felix,Eliot_Middlemarch,Eliot_Mill,Eliot_Romola,Eliot_Silas,Gaskell_Barton,Gaskell_Lovers,Gaskell_NorthSouth,Gaskell_Ruth,Gaskell_Wives,Hardy_BlueEyes,Hardy_Greenwood,Hardy_Jude,Hardy_Madding,Hardy_Native,Hardy_Tess,Hardy_Woodlanders,Hawthorne_Blithedale,Hawthorne_MarbleFaun,Hawthorne_Scarlet,Hawthorne_SevenGables,Lytton_Barons,Lytton_Harold,Lytton_Pompeii,Lytton_Rienzi,Lytton_Zanoni,Shelley_Frankenstein,Shelley_Lastman,Shelley_Valperga,Thackeray_Barry,Thackeray_Pendennis,Thackeray_Vanity,Trollope_Barchester,Trollope_Forgive,Trollope_Phineas,Trollope_Prime,Trollope_Redux,Trollope_Thorne,Trollope_Warden
lemma_george,0.0123354756,0.0049001593,0.0262982112,0.0053471361,0.0439208108,0,0.0556808374,0,0.0481289857,0.0154995505,0.0031945003,0,0,0,0.0910508194,0.0727174511,0.002516236,0.0435992013,0.0094901871,0.0038104238,0,1.0697699297,0.0663157958,0.0688968843,0.0045188753,0.0161022076,0.0266826763,0.0695539275,0.2697645871,0.0300261227,0.0050263127,0.0142093896,0.2376264512,0.0158393259,0.0139600853,0.0374060757,0.0242370056,0.0160220463,0.0038274582,0.0474029129,0.1442919645,0.053221214,0.0182057339,0.026213694,0.0493598643,0.0694606695,0.0139944302,0.0115328947,0.0901312311,0.076251701,0,0.0375403559,0.011060601,0,0,0,0.2454222378,0.0043954692,0.0055583656,0,0.0053372616,0,0.0196965743,0,0.3757153688,0.2836463686,1.8150596816,0.0737335184,1.4151550238,0.0923684546,0.0507082753,0.0389293141,0.2108523803,0
lemma_he,8.3757879285,11.2556658091,9.193854634,8.2078538735,5.9293094551,9.8346227844,9.2847796431,7.6311470168,12.9827938876,19.3744381413,16.2472287709,6.5065903042,11.0424923956,11.1435559549,11.0431636629,10.3466544778,5.9282520463,8.3100077607,5.6941122879,9.4993865218,9.2697002568,10.7256063386,11.0867953193,10.6254306055,8.1159001148,10.4434317945,9.9481911369,10.6726637609,9.2709921397,10.1087946513,12.309439918,13.0442196203,7.9435127979,11.3528368233,10.5677845903,12.404789848,13.2818790681,9.5651616624,12.3014506067,12.4669660951,12.3730359545,14.6003530341,11.8155212984,11.77519136,11.9173222274,8.7899319917,8.1027750955,14.7563387672,8.7307119166,10.2235934494,10.2483764384,14.0964036339,4.5127252215,5.5159399779,6.1530095367,6.4894679127,8.1658671851,7.1821965918,8.5987916113,9.4742515024,9.2227879719,7.0699135899,6.4309315002,10.9059166917,7.4002509242,13.4826573883,10.7645064939,16.8632893824,16.6064109936,18.9833099758,18.6039713528,17.8653110614,16.0746187406,19.1004603943
lemma_cecilia,0,0,0,0,0.0109802027,0,0,0,0,0,0,0,0,5.6329240292,0.0650362995,0,0,0,0,0,0,0,0,0,0,0,0,0.0540974991,0.0074247134,0.0100087076,0,0,0,0,0.0111680683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120963596,0,0,0,0,0,0.0045288009,0,0,0,0.0054556862,0,0,0.0027967021,0,0,0,0,0,0,0.0236099634
lemma_of,20.0081414139,18.3412960921,22.500749499,25.5593104333,26.0011199807,26.2904744361,25.0633369526,25.4584727758,22.6928167489,22.8463374562,22.6170624653,27.9027071342,22.1725504655,20.8221024259,20.3768017378,17.8469401535,23.1242089583,19.2010882361,25.3672702426,20.0275874683,20.8160937775,19.8372554355,24.3439257745,20.6767205083,19.7723390603,21.2526137333,19.8252284704,20.3947571795,20.5540816124,20.8831683565,19.5171723975,22.7634420825,28.6283295992,20.55944499,25.7396053205,24.8002281771,24.0161795477,21.9301759221,28.9470662533,21.1772513421,20.1081159077,22.6855424572,21.1186513192,21.2121212121,20.3547740244,23.8944702992,22.2931273353,20.5285525641,23.1877613806,21.9135657642,25.4244046941,23.8381259854,30.8922586853,32.4424364488,32.5172958983,32.4718898836,29.2179955059,32.4429577991,31.3491820865,32.5032041266,28.1220311483,31.0232029171,35.1879299393,32.6468261546,28.6818428839,23.3346412583,24.0824020315,23.4038861901,18.4075173875,20.9453433558,20.2743615977,23.6073848909,19.6591092062,24.7078267029
lemma_feeling,0.4070706946,0.4900159255,0.6574552799,1.010608718,0.6588121617,0.9926726432,0.7516913054,0.6181655405,0.1082902178,0.1859946062,0.0798625087,0.1905212778,0.3548714167,0.1397624039,0.1913925387,0.1714054206,0.4680198984,0.4316320925,0.4175682344,0.3848528033,0.4030304459,0.1255816874,0.0783732132,0.1913802342,0.2507975815,0.3151432061,0.1645431703,0.0850103558,0.1880927396,0.3653178265,0.2010525099,0.1420938956,0.1584176341,0.582095226,0.6728761126,0.416142592,0.4982051151,0.5407440638,0.3023691966,0.4029247597,0.4637956001,0.3281974862,0.3413575105,0.4823319702,0.3054141601,0.2778426779,0.3078774648,0.2537236834,0.4506561554,0.2698137112,0.2164748775,0.312836299,0.1990908186,0.1874935738,0.2014078408,0.1473019198,0.1179301662,0.0439546915,0.1445175061,0.0815184164,0.1547805852,1.1841812149,0.5810489411,0.7419733217,0.1140564512,0.1583692225,0.2349229788,0.4684247051,0.2546753939,0.2994011976,0.4116318818,0.3990254695,0.3795342846,0.4131743596
lemma_phineas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052427388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7394572557,0.4235632407,2.7672254105,0,0
lemma_the,30.4562892422,29.0530442239,27.0030032557,33.1255079779,34.6205790959,34.0374145483,30.0606921128,29.0111482958,46.2038262544,39.8338448185,45.8187184942,44.5935257406,34.4225274219,29.7020065888,34.3614643202,28.8999927283,35.0335540072,34.1599741893,36.0627111567,34.2176056821,35.2694515785,34.6372898542,48.229669687,44.4155247646,30.9384800311,38.9213361152,36.1150023347,33.0767566231,36.0073851149,37.2824357191,48.0314446125,47.2462203024,50.3428610225,39.3924034593,36.3799823545,40.2349101553,33.6517357736,34.6396641779,52.0304665672,42.9825912802,35.1917794807,37.3923379192,31.3411709018,37.1500471846,31.5101033472,42.7372555458,45.9157255412,40.4977597352,46.3635052637,45.5750551358,49.379058904,45.4613709738,41.8975567132,50.5204458718,52.2754050815,50.2545049837,62.464740474,71.5758196451,66.1945761468,64.8660154251,60.7433737898,49.0907598692,56.0810710997,53.7712430781,48.6215942408,44.4639320005,48.5563423611,43.7022900763,30.7737143487,32.7430245891,36.9305386114,42.8287337267,33.6098694249,45.6262542793
lemma_she,7.6850012952,6.8406223202,11.855233607,11.9615433974,11.9574407344,11.7073969463,11.8460981653,11.0132941118,4.8730598003,12.0741498497,11.7493722807,6.7894855348,12.1900636003,12.5686333234,6.2546338363,5.7446786408,13.5826419975,6.4090825856,8.2090118817,11.1912146869,8.1034844983,4.3162891076,2.7611485896,5.2017147669,6.2089347203,5.9509158706,4.0424254553,6.491699898,3.9697467678,3.2428212545,2.8851035169,1.9466863704,0.5431461742,9.1274115374,9.2806647234,6.0317297037,7.026038623,8.0070176563,6.1966548015,4.799544932,12.9759702346,10.693028908,12.8851081648,15.0990877634,12.9322844362,7.9437747454,4.968022727,9.8779243096,7.8954958419,9.4904040167,12.6182066765,12.3820607153,5.0546946721,4.7115320644,5.0049848441,4.3372231951,1.8964445649,1.3274316834,4.7968695285,1.5896091192,3.1436470576,2.9663153205,6.411234926,9.154641425,4.0523586203,5.3609163669,8.8543589399,9.8976405274,11.7176936386,6.3352019366,7.7792459978,5.6707034203,8.8864694111,3.9310589069
lemma_his,5.2919190299,8.4968761485,5.9591746569,7.1544680669,5.7536262119,6.7440337304,8.8184526295,7.1550884971,6.6418000241,8.5557518832,7.2483212901,8.4464433141,8.9731772514,8.6053708695,6.8399605323,5.5421085983,4.8538192688,5.2973029534,4.8115248833,6.9121087647,6.928693624,9.4558359438,12.0694748392,11.9229885937,6.6178929388,11.8535251183,8.2449469682,9.1038362855,9.8352703586,10.9245043188,11.7012560756,9.79026941,7.4229977143,7.5830772642,8.9037424197,9.6601190448,10.1526123453,7.8588137277,9.5801278371,11.2818932723,7.8226857888,9.8769702937,6.6405414385,6.8784733145,7.2250501311,6.5419321432,8.1307639559,8.5862401033,6.8439648128,7.0327530383,7.1664577874,9.272467903,5.6519671279,6.2719624529,9.1439159726,10.2538503085,13.3611691023,13.6699090577,9.2380036574,12.6217681345,9.825898528,6.2491939361,8.7994445566,11.4787637415,8.768928339,13.0571878354,11.242742558,12.1269951423,9.417738535,10.8835520448,11.0693182123,10.9099402759,11.4665358104,15.582575847
lemma_her,9.1282519398,8.6242802891,12.7072956497,16.4424434273,17.0632349873,12.311187523,15.4235919708,17.7775883018,4.151125015,8.307759075,9.3407190181,13.9542402531,17.515439211,17.5401816911,7.4773162678,6.8458286154,17.6740417544,7.4554634159,11.663440003,12.6734695433,9.0510348021,6.1558282694,6.2457422245,7.1461379469,8.7440237874,10.9195970768,5.1986747604,9.3820519954,7.0114043598,4.9943450802,3.9205239428,2.3445492782,0.4073596307,11.8517755884,14.2895433377,7.9768456392,9.9829533061,11.4317300606,9.2586213496,7.0630340234,15.315561373,14.4495595945,14.77850449,16.0480234875,14.3513805337,9.396134198,6.199532586,9.9817203619,8.8508868913,10.4523485524,15.9735672781,14.1214305378,8.8484808264,7.4755502332,9.6575059667,7.3896463117,4.8255749096,2.9405688616,6.4532624827,2.8259717675,5.2999007269,4.3615387321,11.3599992121,12.935431954,7.6686190447,7.7317272646,12.7445716012,10.5308813324,12.4738432617,6.9340043318,9.0320386815,6.0502642327,9.4576876778,4.8636524613
